ID,Year,AgeGroup,SmokingStatus,Maternities
4830,2018/19,Under 25,Never smoked,12
4831,2018/19,Under 25,Unknown,2
4832,2018/19,25-34,Current smoker,29
4833,2018/19,25-34,Former smoker,2
4834,2018/19,25-34,Never smoked,47
4835,2018/19,25-34,Unknown,1
4836,2018/19,25-34,Current smoker,12
4837,2018/19,25-34,Former smoker,2
4838,2018/19,25-34,Never smoked,48
4839,2018/19,25-34,Unknown,1
4840,2018/19,25-34,Current smoker,1
4841,2018/19,25-34,Never smoked,35
4842,2018/19,25-34,Current smoker,2
4843,2018/19,25-34,Former smoker,1
4844,2018/19,25-34,Never smoked,21
4845,2018/19,25-34,Current smoker,2
4846,2018/19,25-34,Former smoker,1
4847,2018/19,25-34,Never smoked,36
4848,2018/19,35 and over,Current smoker,6
4849,2018/19,35 and over,Never smoked,8
4850,2018/19,35 and over,Current smoker,1
4851,2018/19,35 and over,Never smoked,18
4852,2018/19,35 and over,Current smoker,1
4853,2018/19,35 and over,Never smoked,9
4854,2018/19,35 and over,Never smoked,10
4855,2018/19,35 and over,Never smoked,16
4856,2018/19,Under 25,Current smoker,29
4857,2018/19,Under 25,Former smoker,1
4858,2018/19,Under 25,Never smoked,25
4859,2018/19,Under 25,Current smoker,8
4860,2018/19,Under 25,Former smoker,2
4861,2018/19,Under 25,Never smoked,16
4862,2018/19,Under 25,Current smoker,4
4863,2018/19,Under 25,Former smoker,2
4864,2018/19,Under 25,Never smoked,6
4865,2018/19,Under 25,Unknown,1
4866,2018/19,Under 25,Current smoker,3
4867,2018/19,Under 25,Former smoker,1
4868,2018/19,Under 25,Never smoked,7
4869,2018/19,Under 25,Never smoked,8
4870,2018/19,25-34,Current smoker,31
4871,2018/19,25-34,Former smoker,14
4872,2018/19,25-34,Never smoked,45
4873,2018/19,25-34,Unknown,3
4874,2018/19,25-34,Current smoker,43
4875,2018/19,25-34,Former smoker,18
4876,2018/19,25-34,Never smoked,112
4877,2018/19,25-34,Unknown,9
4878,2018/19,25-34,Current smoker,44
4879,2018/19,25-34,Former smoker,37
4880,2018/19,25-34,Never smoked,153
4881,2018/19,25-34,Unknown,14
4882,2018/19,25-34,Current smoker,7
4883,2018/19,25-34,Former smoker,22
4884,2018/19,25-34,Never smoked,82
4885,2018/19,25-34,Unknown,4
4886,2018/19,25-34,Current smoker,1
4887,2018/19,25-34,Former smoker,6
4888,2018/19,25-34,Never smoked,49
4889,2018/19,25-34,Unknown,3
4890,2018/19,35 and over,Current smoker,7
4891,2018/19,35 and over,Former smoker,2
4892,2018/19,35 and over,Never smoked,8
4893,2018/19,35 and over,Unknown,1
4894,2018/19,35 and over,Current smoker,6
4895,2018/19,35 and over,Former smoker,6
4896,2018/19,35 and over,Never smoked,24
4897,2018/19,35 and over,Unknown,3
4898,2018/19,35 and over,Current smoker,7
4899,2018/19,35 and over,Former smoker,5
4900,2018/19,35 and over,Never smoked,59
4901,2018/19,35 and over,Unknown,2
4902,2018/19,35 and over,Current smoker,3
4903,2018/19,35 and over,Former smoker,4
4904,2018/19,35 and over,Never smoked,17
4905,2018/19,35 and over,Unknown,2
4906,2018/19,35 and over,Former smoker,5
4907,2018/19,35 and over,Never smoked,18
4908,2018/19,Under 25,Current smoker,18
4909,2018/19,Under 25,Former smoker,9
4910,2018/19,Under 25,Never smoked,42
4911,2018/19,Under 25,Unknown,2
4912,2018/19,Under 25,Current smoker,25
4913,2018/19,Under 25,Former smoker,19
4914,2018/19,Under 25,Never smoked,51
4915,2018/19,Under 25,Unknown,2
4916,2018/19,Under 25,Current smoker,10
4917,2018/19,Under 25,Former smoker,8
4918,2018/19,Under 25,Never smoked,42
4919,2018/19,Under 25,Unknown,1
4920,2018/19,Under 25,Current smoker,6
4921,2018/19,Under 25,Former smoker,5
4922,2018/19,Under 25,Never smoked,7
4923,2018/19,Under 25,Unknown,1
4924,2018/19,Under 25,Current smoker,1
4925,2018/19,Under 25,Former smoker,1
4926,2018/19,Under 25,Never smoked,10
4927,2018/19,Under 25,Unknown,1
4928,2018/19,25-34,Current smoker,78
4929,2018/19,25-34,Former smoker,48
4930,2018/19,25-34,Never smoked,103
4931,2018/19,25-34,Unknown,1
4932,2018/19,25-34,Current smoker,25
4933,2018/19,25-34,Former smoker,39
4934,2018/19,25-34,Never smoked,89
4935,2018/19,25-34,Unknown,1
4936,2018/19,25-34,Current smoker,5
4937,2018/19,25-34,Former smoker,16
4938,2018/19,25-34,Never smoked,85
4939,2018/19,25-34,Unknown,1
4940,2018/19,25-34,Current smoker,5
4941,2018/19,25-34,Former smoker,16
4942,2018/19,25-34,Never smoked,79
4943,2018/19,25-34,Unknown,2
4944,2018/19,25-34,Former smoker,7
4945,2018/19,25-34,Never smoked,70
4946,2018/19,35 and over,Current smoker,9
4947,2018/19,35 and over,Former smoker,9
4948,2018/19,35 and over,Never smoked,28
4949,2018/19,35 and over,Current smoker,3
4950,2018/19,35 and over,Former smoker,4
4951,2018/19,35 and over,Never smoked,26
4952,2018/19,35 and over,Unknown,1
4953,2018/19,35 and over,Current smoker,5
4954,2018/19,35 and over,Former smoker,9
4955,2018/19,35 and over,Never smoked,25
4956,2018/19,35 and over,Current smoker,1
4957,2018/19,35 and over,Former smoker,4
4958,2018/19,35 and over,Never smoked,38
4959,2018/19,35 and over,Former smoker,3
4960,2018/19,35 and over,Never smoked,29
4961,2018/19,Under 25,Current smoker,46
4962,2018/19,Under 25,Former smoker,27
4963,2018/19,Under 25,Never smoked,59
4964,2018/19,Under 25,Current smoker,17
4965,2018/19,Under 25,Former smoker,8
4966,2018/19,Under 25,Never smoked,38
4967,2018/19,Under 25,Unknown,1
4968,2018/19,Under 25,Current smoker,8
4969,2018/19,Under 25,Former smoker,9
4970,2018/19,Under 25,Never smoked,18
4971,2018/19,Under 25,Current smoker,3
4972,2018/19,Under 25,Former smoker,2
4973,2018/19,Under 25,Never smoked,13
4974,2018/19,Under 25,Never smoked,1
4975,2018/19,25-34,Current smoker,14
4976,2018/19,25-34,Former smoker,14
4977,2018/19,25-34,Never smoked,19
4978,2018/19,25-34,Current smoker,35
4979,2018/19,25-34,Former smoker,32
4980,2018/19,25-34,Never smoked,109
4981,2018/19,25-34,Unknown,1
4982,2018/19,25-34,Current smoker,15
4983,2018/19,25-34,Former smoker,17
4984,2018/19,25-34,Never smoked,87
4985,2018/19,25-34,Current smoker,9
4986,2018/19,25-34,Former smoker,26
4987,2018/19,25-34,Never smoked,105
4988,2018/19,25-34,Current smoker,4
4989,2018/19,25-34,Former smoker,13
4990,2018/19,25-34,Never smoked,54
4991,2018/19,35 and over,Current smoker,2
4992,2018/19,35 and over,Never smoked,4
4993,2018/19,35 and over,Unknown,1
4994,2018/19,35 and over,Current smoker,7
4995,2018/19,35 and over,Former smoker,14
4996,2018/19,35 and over,Never smoked,38
4997,2018/19,35 and over,Current smoker,6
4998,2018/19,35 and over,Former smoker,8
4999,2018/19,35 and over,Never smoked,54
5000,2018/19,35 and over,Unknown,3
5001,2018/19,35 and over,Current smoker,1
5002,2018/19,35 and over,Former smoker,8
5003,2018/19,35 and over,Never smoked,55
5004,2018/19,35 and over,Current smoker,1
5005,2018/19,35 and over,Former smoker,8
5006,2018/19,35 and over,Never smoked,41
5007,2018/19,Under 25,Current smoker,10
5008,2018/19,Under 25,Former smoker,6
5009,2018/19,Under 25,Never smoked,7
5010,2018/19,Under 25,Current smoker,28
5011,2018/19,Under 25,Former smoker,22
5012,2018/19,Under 25,Never smoked,34
5013,2018/19,Under 25,Unknown,1
5014,2018/19,Under 25,Current smoker,8
5015,2018/19,Under 25,Former smoker,8
5016,2018/19,Under 25,Never smoked,18
5017,2018/19,Under 25,Current smoker,5
5018,2018/19,Under 25,Former smoker,6
5019,2018/19,Under 25,Never smoked,10
5020,2018/19,Under 25,Current smoker,3
5021,2018/19,Under 25,Never smoked,6
5022,2018/19,25-34,Current smoker,9
5023,2018/19,25-34,Former smoker,2
5024,2018/19,25-34,Never smoked,38
5025,2018/19,25-34,Unknown,1
5026,2018/19,25-34,Current smoker,15
5027,2018/19,25-34,Former smoker,2
5028,2018/19,25-34,Never smoked,44
5029,2018/19,25-34,Current smoker,1
5030,2018/19,25-34,Former smoker,3
5031,2018/19,25-34,Never smoked,28
5032,2018/19,25-34,Unknown,2
5033,2018/19,25-34,Current smoker,3
5034,2018/19,25-34,Former smoker,7
5035,2018/19,25-34,Never smoked,133
5036,2018/19,25-34,Unknown,8
5037,2018/19,25-34,Current smoker,2
5038,2018/19,25-34,Former smoker,5
5039,2018/19,25-34,Never smoked,183
5040,2018/19,25-34,Unknown,12
5041,2018/19,35 and over,Current smoker,1
5042,2018/19,35 and over,Never smoked,7
5043,2018/19,35 and over,Current smoker,2
5044,2018/19,35 and over,Never smoked,20
5045,2018/19,35 and over,Former smoker,2
5046,2018/19,35 and over,Never smoked,6
5047,2018/19,35 and over,Current smoker,1
5048,2018/19,35 and over,Former smoker,3
5049,2018/19,35 and over,Never smoked,74
5050,2018/19,35 and over,Unknown,3
5051,2018/19,35 and over,Current smoker,2
5052,2018/19,35 and over,Former smoker,4
5053,2018/19,35 and over,Never smoked,148
5054,2018/19,35 and over,Unknown,13
5055,2018/19,Under 25,Current smoker,6
5056,2018/19,Under 25,Former smoker,1
5057,2018/19,Under 25,Never smoked,13
5058,2018/19,Under 25,Unknown,2
5059,2018/19,Under 25,Current smoker,1
5060,2018/19,Under 25,Former smoker,3
5061,2018/19,Under 25,Never smoked,8
5062,2018/19,Under 25,Never smoked,4
5063,2018/19,Under 25,Current smoker,3
5064,2018/19,Under 25,Former smoker,2
5065,2018/19,Under 25,Never smoked,7
5066,2018/19,Under 25,Former smoker,2
5067,2018/19,Under 25,Never smoked,12
5068,2018/19,25-34,Former smoker,1
5069,2018/19,25-34,Never smoked,11
5070,2018/19,25-34,Unknown,3
5071,2018/19,25-34,Current smoker,5
5072,2018/19,25-34,Former smoker,3
5073,2018/19,25-34,Never smoked,79
5074,2018/19,25-34,Unknown,5
5075,2018/19,35 and over,Former smoker,1
5076,2018/19,35 and over,Never smoked,6
5077,2018/19,35 and over,Unknown,2
5078,2018/19,35 and over,Current smoker,1
5079,2018/19,35 and over,Former smoker,1
5080,2018/19,35 and over,Never smoked,38
5081,2018/19,35 and over,Unknown,7
5082,2018/19,Under 25,Current smoker,4
5083,2018/19,Under 25,Former smoker,1
5084,2018/19,Under 25,Never smoked,3
5085,2018/19,Under 25,Unknown,1
5086,2018/19,Under 25,Current smoker,13
5087,2018/19,Under 25,Former smoker,2
5088,2018/19,Under 25,Never smoked,13
5089,2018/19,Under 25,Unknown,2
5090,2018/19,25-34,Current smoker,54
5091,2018/19,25-34,Former smoker,9
5092,2018/19,25-34,Never smoked,107
5093,2018/19,25-34,Unknown,1
5094,2018/19,25-34,Current smoker,38
5095,2018/19,25-34,Former smoker,7
5096,2018/19,25-34,Never smoked,128
5097,2018/19,25-34,Unknown,4
5098,2018/19,25-34,Current smoker,45
5099,2018/19,25-34,Former smoker,7
5100,2018/19,25-34,Never smoked,179
5101,2018/19,25-34,Unknown,2
5102,2018/19,25-34,Current smoker,8
5103,2018/19,25-34,Former smoker,3
5104,2018/19,25-34,Never smoked,128
5105,2018/19,25-34,Unknown,2
5106,2018/19,25-34,Current smoker,6
5107,2018/19,25-34,Former smoker,5
5108,2018/19,25-34,Never smoked,177
5109,2018/19,35 and over,Current smoker,15
5110,2018/19,35 and over,Former smoker,3
5111,2018/19,35 and over,Never smoked,20
5112,2018/19,35 and over,Unknown,1
5113,2018/19,35 and over,Current smoker,5
5114,2018/19,35 and over,Former smoker,3
5115,2018/19,35 and over,Never smoked,48
5116,2018/19,35 and over,Current smoker,9
5117,2018/19,35 and over,Former smoker,2
5118,2018/19,35 and over,Never smoked,55
5119,2018/19,35 and over,Unknown,2
5120,2018/19,35 and over,Current smoker,5
5121,2018/19,35 and over,Never smoked,71
5122,2018/19,35 and over,Unknown,2
5123,2018/19,35 and over,Current smoker,1
5124,2018/19,35 and over,Never smoked,80
5125,2018/19,Under 25,Current smoker,27
5126,2018/19,Under 25,Former smoker,6
5127,2018/19,Under 25,Never smoked,52
5128,2018/19,Under 25,Unknown,1
5129,2018/19,Under 25,Current smoker,28
5130,2018/19,Under 25,Former smoker,5
5131,2018/19,Under 25,Never smoked,45
5132,2018/19,Under 25,Unknown,1
5133,2018/19,Under 25,Current smoker,20
5134,2018/19,Under 25,Former smoker,1
5135,2018/19,Under 25,Never smoked,50
5136,2018/19,Under 25,Current smoker,7
5137,2018/19,Under 25,Never smoked,16
5138,2018/19,Under 25,Current smoker,3
5139,2018/19,Under 25,Former smoker,1
5140,2018/19,Under 25,Never smoked,17
5141,2018/19,25-34,Current smoker,46
5142,2018/19,25-34,Former smoker,23
5143,2018/19,25-34,Never smoked,98
5144,2018/19,25-34,Unknown,3
5145,2018/19,25-34,Current smoker,47
5146,2018/19,25-34,Former smoker,21
5147,2018/19,25-34,Never smoked,138
5148,2018/19,25-34,Unknown,2
5149,2018/19,25-34,Current smoker,35
5150,2018/19,25-34,Former smoker,40
5151,2018/19,25-34,Never smoked,262
5152,2018/19,25-34,Unknown,6
5153,2018/19,25-34,Current smoker,34
5154,2018/19,25-34,Former smoker,25
5155,2018/19,25-34,Never smoked,269
5156,2018/19,25-34,Unknown,2
5157,2018/19,25-34,Current smoker,4
5158,2018/19,25-34,Former smoker,5
5159,2018/19,25-34,Never smoked,57
5160,2018/19,25-34,Unknown,1
5161,2018/19,35 and over,Current smoker,14
5162,2018/19,35 and over,Former smoker,5
5163,2018/19,35 and over,Never smoked,25
5164,2018/19,35 and over,Current smoker,7
5165,2018/19,35 and over,Former smoker,4
5166,2018/19,35 and over,Never smoked,49
5167,2018/19,35 and over,Unknown,1
5168,2018/19,35 and over,Current smoker,21
5169,2018/19,35 and over,Former smoker,7
5170,2018/19,35 and over,Never smoked,130
5171,2018/19,35 and over,Unknown,2
5172,2018/19,35 and over,Current smoker,11
5173,2018/19,35 and over,Former smoker,12
5174,2018/19,35 and over,Never smoked,128
5175,2018/19,35 and over,Unknown,2
5176,2018/19,35 and over,Current smoker,1
5177,2018/19,35 and over,Former smoker,2
5178,2018/19,35 and over,Never smoked,23
5179,2018/19,35 and over,Unknown,1
5180,2018/19,Under 25,Current smoker,30
5181,2018/19,Under 25,Former smoker,14
5182,2018/19,Under 25,Never smoked,29
5183,2018/19,Under 25,Current smoker,22
5184,2018/19,Under 25,Former smoker,24
5185,2018/19,Under 25,Never smoked,43
5186,2018/19,Under 25,Unknown,1
5187,2018/19,Under 25,Current smoker,27
5188,2018/19,Under 25,Former smoker,10
5189,2018/19,Under 25,Never smoked,48
5190,2018/19,Under 25,Unknown,1
5191,2018/19,Under 25,Current smoker,12
5192,2018/19,Under 25,Former smoker,16
5193,2018/19,Under 25,Never smoked,57
5194,2018/19,Under 25,Unknown,1
5195,2018/19,Under 25,Current smoker,1
5196,2018/19,Under 25,Former smoker,1
5197,2018/19,Under 25,Never smoked,11
5198,2018/19,25-34,Current smoker,47
5199,2018/19,25-34,Former smoker,12
5200,2018/19,25-34,Never smoked,152
5201,2018/19,25-34,Unknown,2
5202,2018/19,25-34,Current smoker,8
5203,2018/19,25-34,Former smoker,4
5204,2018/19,25-34,Never smoked,38
5205,2018/19,25-34,Unknown,1
5206,2018/19,25-34,Current smoker,5
5207,2018/19,25-34,Former smoker,1
5208,2018/19,25-34,Never smoked,36
5209,2018/19,25-34,Unknown,1
5210,2018/19,25-34,Current smoker,3
5211,2018/19,25-34,Former smoker,1
5212,2018/19,25-34,Never smoked,37
5213,2018/19,25-34,Unknown,1
5214,2018/19,25-34,Current smoker,3
5215,2018/19,25-34,Never smoked,27
5216,2018/19,35 and over,Current smoker,7
5217,2018/19,35 and over,Former smoker,1
5218,2018/19,35 and over,Never smoked,38
5219,2018/19,35 and over,Never smoked,16
5220,2018/19,35 and over,Unknown,1
5221,2018/19,35 and over,Current smoker,1
5222,2018/19,35 and over,Never smoked,19
5223,2018/19,35 and over,Former smoker,1
5224,2018/19,35 and over,Never smoked,25
5225,2018/19,35 and over,Current smoker,1
5226,2018/19,35 and over,Never smoked,23
5227,2018/19,Under 25,Current smoker,26
5228,2018/19,Under 25,Former smoker,4
5229,2018/19,Under 25,Never smoked,70
5230,2018/19,Under 25,Current smoker,5
5231,2018/19,Under 25,Former smoker,1
5232,2018/19,Under 25,Never smoked,16
5233,2018/19,Under 25,Current smoker,2
5234,2018/19,Under 25,Never smoked,6
5235,2018/19,Under 25,Current smoker,3
5236,2018/19,Under 25,Never smoked,4
5237,2018/19,Under 25,Never smoked,8
5238,2018/19,25-34,Current smoker,16
5239,2018/19,25-34,Former smoker,19
5240,2018/19,25-34,Never smoked,29
5241,2018/19,25-34,Current smoker,32
5242,2018/19,25-34,Former smoker,40
5243,2018/19,25-34,Never smoked,137
5244,2018/19,25-34,Unknown,1
5245,2018/19,25-34,Current smoker,21
5246,2018/19,25-34,Former smoker,31
5247,2018/19,25-34,Never smoked,123
5248,2018/19,25-34,Current smoker,8
5249,2018/19,25-34,Former smoker,26
5250,2018/19,25-34,Never smoked,114
5251,2018/19,25-34,Current smoker,3
5252,2018/19,25-34,Former smoker,8
5253,2018/19,25-34,Never smoked,66
5254,2018/19,35 and over,Current smoker,4
5255,2018/19,35 and over,Never smoked,12
5256,2018/19,35 and over,Unknown,1
5257,2018/19,35 and over,Current smoker,12
5258,2018/19,35 and over,Former smoker,20
5259,2018/19,35 and over,Never smoked,39
5260,2018/19,35 and over,Current smoker,2
5261,2018/19,35 and over,Former smoker,9
5262,2018/19,35 and over,Never smoked,35
5263,2018/19,35 and over,Current smoker,1
5264,2018/19,35 and over,Former smoker,14
5265,2018/19,35 and over,Never smoked,53
5266,2018/19,35 and over,Current smoker,1
5267,2018/19,35 and over,Former smoker,8
5268,2018/19,35 and over,Never smoked,29
5269,2018/19,Under 25,Current smoker,3
5270,2018/19,Under 25,Former smoker,6
5271,2018/19,Under 25,Never smoked,14
5272,2018/19,Under 25,Current smoker,21
5273,2018/19,Under 25,Former smoker,14
5274,2018/19,Under 25,Never smoked,33
5275,2018/19,Under 25,Current smoker,5
5276,2018/19,Under 25,Former smoker,13
5277,2018/19,Under 25,Never smoked,9
5278,2018/19,Under 25,Current smoker,4
5279,2018/19,Under 25,Former smoker,7
5280,2018/19,Under 25,Never smoked,7
5281,2018/19,Under 25,Never smoked,6
5282,2018/19,25-34,Current smoker,6
5283,2018/19,25-34,Former smoker,2
5284,2018/19,25-34,Never smoked,8
5285,2018/19,25-34,Current smoker,18
5286,2018/19,25-34,Former smoker,30
5287,2018/19,25-34,Never smoked,34
5288,2018/19,25-34,Unknown,1
5289,2018/19,25-34,Current smoker,14
5290,2018/19,25-34,Former smoker,47
5291,2018/19,25-34,Never smoked,97
5292,2018/19,25-34,Current smoker,13
5293,2018/19,25-34,Former smoker,29
5294,2018/19,25-34,Never smoked,131
5295,2018/19,25-34,Unknown,3
5296,2018/19,25-34,Current smoker,7
5297,2018/19,25-34,Former smoker,16
5298,2018/19,25-34,Never smoked,32
5299,2018/19,25-34,Unknown,1
5300,2018/19,35 and over,Current smoker,2
5301,2018/19,35 and over,Never smoked,1
5302,2018/19,35 and over,Current smoker,7
5303,2018/19,35 and over,Former smoker,6
5304,2018/19,35 and over,Never smoked,13
5305,2018/19,35 and over,Unknown,1
5306,2018/19,35 and over,Current smoker,4
5307,2018/19,35 and over,Former smoker,8
5308,2018/19,35 and over,Never smoked,21
5309,2018/19,35 and over,Current smoker,4
5310,2018/19,35 and over,Former smoker,14
5311,2018/19,35 and over,Never smoked,43
5312,2018/19,35 and over,Current smoker,1
5313,2018/19,35 and over,Former smoker,3
5314,2018/19,35 and over,Never smoked,16
5315,2018/19,Under 25,Current smoker,3
5316,2018/19,Under 25,Former smoker,2
5317,2018/19,Under 25,Never smoked,2
5318,2018/19,Under 25,Current smoker,14
5319,2018/19,Under 25,Former smoker,12
5320,2018/19,Under 25,Never smoked,17
5321,2018/19,Under 25,Unknown,1
5322,2018/19,Under 25,Current smoker,20
5323,2018/19,Under 25,Former smoker,12
5324,2018/19,Under 25,Never smoked,34
5325,2018/19,Under 25,Current smoker,7
5326,2018/19,Under 25,Former smoker,12
5327,2018/19,Under 25,Never smoked,24
5328,2018/19,Under 25,Unknown,1
5329,2018/19,Under 25,Current smoker,1
5330,2018/19,Under 25,Former smoker,5
5331,2018/19,Under 25,Never smoked,8
5332,2018/19,25-34,Current smoker,71
5333,2018/19,25-34,Former smoker,58
5334,2018/19,25-34,Never smoked,157
5335,2018/19,25-34,Unknown,1
5336,2018/19,25-34,Current smoker,13
5337,2018/19,25-34,Former smoker,26
5338,2018/19,25-34,Never smoked,70
5339,2018/19,25-34,Unknown,1
5340,2018/19,25-34,Current smoker,10
5341,2018/19,25-34,Former smoker,8
5342,2018/19,25-34,Never smoked,78
5343,2018/19,25-34,Unknown,1
5344,2018/19,25-34,Current smoker,6
5345,2018/19,25-34,Former smoker,16
5346,2018/19,25-34,Never smoked,55
5347,2018/19,25-34,Former smoker,3
5348,2018/19,25-34,Never smoked,40
5349,2018/19,35 and over,Current smoker,13
5350,2018/19,35 and over,Former smoker,12
5351,2018/19,35 and over,Never smoked,44
5352,2018/19,35 and over,Unknown,1
5353,2018/19,35 and over,Current smoker,7
5354,2018/19,35 and over,Former smoker,3
5355,2018/19,35 and over,Never smoked,23
5356,2018/19,35 and over,Current smoker,2
5357,2018/19,35 and over,Former smoker,8
5358,2018/19,35 and over,Never smoked,24
5359,2018/19,35 and over,Former smoker,4
5360,2018/19,35 and over,Never smoked,28
5361,2018/19,35 and over,Current smoker,2
5362,2018/19,35 and over,Former smoker,3
5363,2018/19,35 and over,Never smoked,21
5364,2018/19,35 and over,Unknown,1
5365,2018/19,Under 25,Current smoker,73
5366,2018/19,Under 25,Former smoker,35
5367,2018/19,Under 25,Never smoked,66
5368,2018/19,Under 25,Unknown,2
5369,2018/19,Under 25,Current smoker,8
5370,2018/19,Under 25,Former smoker,11
5371,2018/19,Under 25,Never smoked,29
5372,2018/19,Under 25,Current smoker,8
5373,2018/19,Under 25,Former smoker,6
5374,2018/19,Under 25,Never smoked,16
5375,2018/19,Under 25,Current smoker,3
5376,2018/19,Under 25,Former smoker,4
5377,2018/19,Under 25,Never smoked,8
5378,2018/19,Under 25,Current smoker,1
5379,2018/19,Under 25,Former smoker,2
5380,2018/19,Under 25,Never smoked,2
5381,2018/19,25-34,Current smoker,1
5382,2018/19,25-34,Former smoker,2
5383,2018/19,25-34,Never smoked,4
5384,2018/19,25-34,Current smoker,1
5385,2018/19,25-34,Former smoker,3
5386,2018/19,25-34,Never smoked,10
5387,2018/19,25-34,Current smoker,7
5388,2018/19,25-34,Former smoker,17
5389,2018/19,25-34,Never smoked,72
5390,2018/19,35 and over,Current smoker,1
5391,2018/19,35 and over,Former smoker,2
5392,2018/19,35 and over,Never smoked,3
5393,2018/19,35 and over,Former smoker,6
5394,2018/19,35 and over,Never smoked,5
5395,2018/19,35 and over,Current smoker,1
5396,2018/19,35 and over,Former smoker,3
5397,2018/19,35 and over,Never smoked,20
5398,2018/19,Under 25,Former smoker,2
5399,2018/19,Under 25,Never smoked,4
5400,2018/19,Under 25,Never smoked,1
5401,2018/19,Under 25,Former smoker,2
5402,2018/19,Under 25,Never smoked,7
5403,2018/19,25-34,Current smoker,17
5404,2018/19,25-34,Former smoker,5
5405,2018/19,25-34,Never smoked,21
5406,2018/19,25-34,Unknown,1
5407,2018/19,25-34,Current smoker,23
5408,2018/19,25-34,Former smoker,17
5409,2018/19,25-34,Never smoked,84
5410,2018/19,25-34,Unknown,4
5411,2018/19,25-34,Current smoker,21
5412,2018/19,25-34,Former smoker,29
5413,2018/19,25-34,Never smoked,138
5414,2018/19,25-34,Unknown,9
5415,2018/19,25-34,Current smoker,9
5416,2018/19,25-34,Former smoker,17
5417,2018/19,25-34,Never smoked,106
5418,2018/19,25-34,Unknown,4
5419,2018/19,25-34,Former smoker,3
5420,2018/19,25-34,Never smoked,14
5421,2018/19,25-34,Unknown,1
5422,2018/19,35 and over,Current smoker,8
5423,2018/19,35 and over,Former smoker,2
5424,2018/19,35 and over,Never smoked,8
5425,2018/19,35 and over,Unknown,1
5426,2018/19,35 and over,Current smoker,6
5427,2018/19,35 and over,Former smoker,7
5428,2018/19,35 and over,Never smoked,22
5429,2018/19,35 and over,Current smoker,8
5430,2018/19,35 and over,Former smoker,11
5431,2018/19,35 and over,Never smoked,72
5432,2018/19,35 and over,Unknown,2
5433,2018/19,35 and over,Current smoker,2
5434,2018/19,35 and over,Former smoker,10
5435,2018/19,35 and over,Never smoked,37
5436,2018/19,35 and over,Former smoker,1
5437,2018/19,35 and over,Never smoked,16
5438,2018/19,35 and over,Unknown,2
5439,2018/19,Under 25,Current smoker,9
5440,2018/19,Under 25,Former smoker,5
5441,2018/19,Under 25,Never smoked,13
5442,2018/19,Under 25,Current smoker,12
5443,2018/19,Under 25,Former smoker,10
5444,2018/19,Under 25,Never smoked,21
5445,2018/19,Under 25,Unknown,4
5446,2018/19,Under 25,Current smoker,17
5447,2018/19,Under 25,Former smoker,8
5448,2018/19,Under 25,Never smoked,32
5449,2018/19,Under 25,Unknown,1
5450,2018/19,Under 25,Current smoker,4
5451,2018/19,Under 25,Former smoker,5
5452,2018/19,Under 25,Never smoked,7
5453,2018/19,Under 25,Unknown,3
5454,2018/19,Under 25,Never smoked,5
5455,2018/19,25-34,Current smoker,3
5456,2018/19,25-34,Never smoked,2
5457,2018/19,25-34,Current smoker,3
5458,2018/19,25-34,Former smoker,6
5459,2018/19,25-34,Never smoked,33
5460,2018/19,25-34,Current smoker,3
5461,2018/19,25-34,Former smoker,17
5462,2018/19,25-34,Never smoked,45
5463,2018/19,25-34,Unknown,1
5464,2018/19,35 and over,Current smoker,1
5465,2018/19,35 and over,Former smoker,2
5466,2018/19,35 and over,Never smoked,2
5467,2018/19,35 and over,Current smoker,1
5468,2018/19,35 and over,Former smoker,2
5469,2018/19,35 and over,Never smoked,9
5470,2018/19,35 and over,Current smoker,1
5471,2018/19,35 and over,Former smoker,8
5472,2018/19,35 and over,Never smoked,27
5473,2018/19,Under 25,Current smoker,1
5474,2018/19,Under 25,Former smoker,2
5475,2018/19,Under 25,Current smoker,2
5476,2018/19,Under 25,Former smoker,3
5477,2018/19,Under 25,Never smoked,8
5478,2018/19,Under 25,Current smoker,2
5479,2018/19,Under 25,Former smoker,6
5480,2018/19,Under 25,Never smoked,12
5481,2018/19,25-34,Current smoker,33
5482,2018/19,25-34,Former smoker,28
5483,2018/19,25-34,Never smoked,45
5484,2018/19,25-34,Unknown,2
5485,2018/19,25-34,Current smoker,23
5486,2018/19,25-34,Former smoker,37
5487,2018/19,25-34,Never smoked,78
5488,2018/19,25-34,Unknown,1
5489,2018/19,25-34,Current smoker,17
5490,2018/19,25-34,Former smoker,20
5491,2018/19,25-34,Never smoked,82
5492,2018/19,25-34,Current smoker,6
5493,2018/19,25-34,Former smoker,11
5494,2018/19,25-34,Never smoked,65
5495,2018/19,25-34,Current smoker,4
5496,2018/19,25-34,Former smoker,16
5497,2018/19,25-34,Never smoked,61
5498,2018/19,35 and over,Current smoker,6
5499,2018/19,35 and over,Former smoker,9
5500,2018/19,35 and over,Never smoked,12
5501,2018/19,35 and over,Current smoker,6
5502,2018/19,35 and over,Former smoker,14
5503,2018/19,35 and over,Never smoked,23
5504,2018/19,35 and over,Current smoker,3
5505,2018/19,35 and over,Former smoker,9
5506,2018/19,35 and over,Never smoked,28
5507,2018/19,35 and over,Unknown,1
5508,2018/19,35 and over,Current smoker,3
5509,2018/19,35 and over,Former smoker,8
5510,2018/19,35 and over,Never smoked,24
5511,2018/19,35 and over,Current smoker,1
